"subject_id","age_group","skip_count","semantic_similarity"
"001fafba","adult",0,0.887787250313814
"002e49b2","adult",0,0.886692985327295
"00982e47","adult",0,0.89342157020945
"00a14d68","adult",0,0.882555835578103
"01b0b64a","adult",0,0.903268954965576
"024a0cf3","child",7,0.909108210295012
"02a8f8f6","adult",0,0.894034367023808
"039b6c84","adult",0,0.882222919833432
"03f84c9b","adult",0,0.874457260550999
"043f55bb","adult",0,0.896399110184251
"04769bc3","child",3,0.894573777196308
"04827cc2","adult",0,0.883573503462927
"05eccb11","adult",0,0.887481318930653
"06fe3dd7","adult",0,0.89487631729171
"0a546e4c","adult",0,0.901863882717665
"0a7f06a5","adult",0,0.86953873648494
"0a8ba029","adult",0,0.897068442302038
"0a987ec8","adult",0,0.87959439831989
"0b9ee7c1","adult",0,0.900963062796317
"0c3dc92b","adult",0,0.88750120746915
"0f2a013f","adult",0,0.881929551669023
"10bb071e","adult",0,0.875881999775499
"10e3bffb","adult",0,0.89266519103464
"1161a4a3","adult",0,0.910621143613781
"11a2508a","adult",0,0.896466161470257
"144dbb8b","adult",0,0.898503613514556
"14e588bd","adult",1,0.875851771942817
"17c936b7","adult",0,0.876102926784143
"18754a69","adult",0,0.899797019470181
"1a34246a","adult",0,0.903791926929191
"1df9ef84","adult",0,0.884846133788194
"1eb1930d","adult",0,0.904850656042144
"1fa519b8","adult",0,0.888213227742939
"1fe92e9e","adult",0,0.908117896565662
"203dcb2b","adult",0,0.899503174291995
"204bf0e1","adult",0,0.943302449229324
"20d81fe2","adult",0,0.919154576765586
"24efe30a","adult",0,0.906053573241929
"25d82e80","child",1,0.924690806185179
"25f73cd8","adult",0,0.893732046419111
"260d1f54","adult",0,0.905099523928508
"26239db3","adult",0,0.889156445996706
"265b6359","adult",0,0.919335864146207
"26c6fd45","child",0,0.969738346717971
"26ed791c","adult",0,0.89788255151288
"28c92b42","adult",0,0.868664193191732
"298d71be","adult",0,0.902550224115414
"2a29c3aa","adult",0,0.908891497220843
"2b834858","adult",0,0.899142379433374
"2d7e3adc","adult",0,0.884713612053382
"2dac795a","adult",0,0.909645213570421
"3279e300","adult",0,0.899885255867048
"328a5988","child",0,0.919148137137559
"33f88d33","adult",0,0.913444675286144
"3427fcf4","adult",0,0.883413004759951
"34685b2a","adult",0,0.875870022746924
"35bd098b","adult",0,0.899659212674109
"360f6b20","adult",0,0.886964011540994
"370455dc","adult",0,0.868035275149531
"398d5e19","adult",0,0.869747152331804
"39f2b3d1","adult",0,0.87958654728672
"3b239e78","adult",0,0.906467910519024
"3bf71ac8","adult",0,0.90499357292738
"3d971ca3","adult",0,0.897179961328558
"3e384079","adult",0,0.915331486292689
"3e85a786","adult",0,0.910009644680212
"3f5cbdf6","adult",0,0.89841776207514
"4070efe1","adult",0,0.904137489110845
"409355e1","adult",0,0.904239138870211
"40c165b2","adult",0,0.880761086500628
"40c3b3ed","adult",0,0.873961309995909
"41179bdb","adult",0,0.887320852983558
"412308a4","adult",0,0.892535641764477
"42ad2af6","adult",0,0.919497808074114
"42b18000","adult",0,0.911527707304694
"42c5121f","adult",0,0.90327619539558
"43223449","adult",0,0.906067665180596
"43a6389c","adult",0,0.911393105196322
"43c26acd","adult",0,0.894474436946152
"4625379f","adult",0,0.89734967535775
"48438f17","adult",0,0.890368638684438
"49cd7f53","adult",0,0.900594276866917
"4a2f8210","adult",0,0.886740346016141
"4bdd96eb","adult",0,0.895373878084384
"4c649c70","adult",0,0.896616410121334
"4da18426","adult",0,0.918294507216861
"4da745d0","adult",0,0.923034607538983
"4dbb3a7a","adult",0,0.894687999123645
"4f552592","adult",0,0.906828796042243
"4ff88f3a","adult",0,0.860797369285213
"504ce871","adult",0,0.884913006911203
"52264f55","adult",0,0.898145419395259
"52ac21e3","adult",0,0.910481087536499
"53f09bc2","adult",0,0.884798393644933
"54763e62","adult",0,0.923784453760231
"5586b5a0","adult",0,0.918137833319697
"59190e88","adult",0,0.889019477551312
"5945aac7","adult",0,0.892122586545262
"597b3c4d","adult",0,0.871274783404735
"5a225f43","adult",0,0.885715796961277
"5ac1d03d","adult",0,0.890445577678932
"5bd811d9","adult",0,0.90139739687653
"5bd9763e","adult",0,0.902990184662735
"5bf5d757","adult",0,0.903735313225548
"5c054ae6","adult",0,0.90450290729399
"5d512d6d","adult",0,0.866329107209018
"5de6d340","adult",0,0.927641706968884
"5ee35cb2","adult",0,0.870928844833189
"5f0b8011","adult",0,0.884892615527357
"5f45b3ee","adult",0,0.890084409683088
"5fa15d43","adult",0,0.904211956490452
"5faabe01","adult",0,0.908845085526505
"603d15a6","adult",0,0.895804749466114
"615ba795","child",0,0.937842337757172
"61ce2e88","adult",0,0.900862234034556
"63a26445","adult",0,0.918116416525606
"66757f4f","adult",0,0.915850164986962
"673762df","adult",0,0.882736337319745
"685193d0","adult",0,0.907740296878309
